rank	finalWorth																																	
1	211000																																	
2	180000																																	
3	114000																																	
4	107000																																	
5	106000																																	
6	104000																																	
7	94500																																	
8	93000																																	
9	83400																																	
10	80700																																	
11	80500																																	
12	79200																																	
13	77300																																	
14	76000																																	
15	68000																																	
16	64400																																	
17	59000																																	
17	59000																																	
19	58800																																	
20	57600																																	
21	56700																																	
22	54400																																	
23	50100																																	
24	47200																																	
25	45100																																	
26	45000																																	
27	42900																																	
28	40100																																	
29	39100																																	
30	38900																																	
31	38300																																	
31	38300																																	
33	38000																																	
34	35300																																	
35	35000																																	
35	35000																																	
37	34700																																	
38	33400																																	
39	32600																																	
40	32100																																	
41	31600																																	
41	31600																																	
43	31200																																	
43	31200																																	
45	30200																																	
46	29700																																	
47	29500																																	
48	28500																																	
49	28100																																	
50	27800																																	
51	27400																																	
52	27000																																	
53	26700																																	
54	26600																																	
55	25600																																	
56	25500																																	
57	25300																																	
58	25200																																	
59	24600																																	
60	24400																																	
61	24200																																	
62	23700																																	
63	23500																																	
64	23400																																	
65	23100																																	
65	23100																																	
67	22900																																	
68	22600																																	
69	22400																																	
70	22100																																	
71	22000																																	
72	21600																																	
72	21600																																	
74	21200																																	
74	21200																																	
76	21100																																	
77	21000																																	
77	21000																																	
79	20900																																	
80	20500																																	
81	20200																																	
82	19600																																	
83	19100																																	
84	19000																																	
84	19000																																	
86	18900																																	
86	18900																																	
88	18700																																	
89	18500																																	
89	18500																																	
89	18500																																	
92	18000																																	
93	17700																																	
94	17500																																	
94	17500																																	
94	17500																																	
97	17400																																	
97	17400																																	
99	17100																																	
100	16700																																	
101	16500																																	
101	16500																																	
103	16300																																	
104	16200																																	
104	16200																																	
106	16000																																	
107	15900																																	
108	15800																																	
108	15800																																	
108	15800																																	
108	15800																																	
112	15600																																	
113	15500																																	
114	15300																																	
115	15200																																	
116	14900																																	
116	14900																																	
118	14800																																	
119	14700																																	
120	14600																																	
121	14500																																	
122	14400																																	
123	14300																																	
124	14200																																	
124	14200																																	
126	14100																																	
127	14000																																	
128	13900																																	
128	13900																																	
130	13700																																	
130	13700																																	
130	13700																																	
133	13300																																	
133	13300																																	
133	13300																																	
136	13200																																	
137	13100																																	
138	12900																																	
138	12900																																	
140	12600																																	
141	12300																																	
142	12200																																	
142	12200																																	
144	12100																																	
145	12000																																	
146	11800																																	
147	11600																																	
148	11500																																	
148	11500																																	
148	11500																																	
151	11400																																	
151	11400																																	
153	11300																																	
153	11300																																	
153	11300																																	
153	11300																																	
157	11100																																	
157	11100																																	
159	11000																																	
159	11000																																	
161	10900																																	
161	10900																																	
161	10900																																	
164	10700																																	
165	10600																																	
165	10600																																	
167	10500																																	
167	10500																																	
167	10500																																	
170	10300																																	
171	10200																																	
171	10200																																	
171	10200																																	
171	10200																																	
171	10200																																	
171	10200																																	
171	10200																																	
171	10200																																	
179	10100																																	
179	10100																																	
179	10100																																	
182	10000																																	
183	9900																																	
184	9800																																	
184	9800																																	
184	9800																																	
184	9800																																	
184	9800																																	
184	9800																																	
190	9700																																	
190	9700																																	
190	9700																																	
190	9700																																	
190	9700																																	
195	9600																																	
195	9600																																	
195	9600																																	
195	9600																																	
195	9600																																	
195	9600																																	
195	9600																																	
202	9500																																	
202	9500																																	
204	9400																																	
204	9400																																	
206	9300																																	
206	9300																																	
208	9200																																	
208	9200																																	
208	9200																																	
208	9200																																	
208	9200																																	
208	9200																																	
208	9200																																	
215	9000																																	
215	9000																																	
215	9000																																	
215	9000																																	
215	9000																																	
220	8900																																	
220	8900																																	
220	8900																																	
223	8800																																	
223	8800																																	
223	8800																																	
223	8800																																	
223	8800																																	
223	8800																																	
223	8800																																	
230	8700																																	
230	8700																																	
232	8600																																	
232	8600																																	
232	8600																																	
232	8600																																	
232	8600																																	
232	8600																																	
232	8600																																	
239	8500																																	
239	8500																																	
239	8500																																	
242	8400																																	
242	8400																																	
242	8400																																	
242	8400																																	
246	8300																																	
246	8300																																	
246	8300																																	
249	8200																																	
249	8200																																	
249	8200																																	
249	8200																																	
249	8200																																	
249	8200																																	
249	8200																																	
256	8100																																	
256	8100																																	
256	8100																																	
256	8100																																	
256	8100																																	
261	8000																																	
261	8000																																	
261	8000																																	
261	8000																																	
261	8000																																	
261	8000																																	
261	8000																																	
268	7900																																	
268	7900																																	
268	7900																																	
268	7900																																	
268	7900																																	
268	7900																																	
268	7900																																	
268	7900																																	
276	7800																																	
276	7800																																	
276	7800																																	
276	7800																																	
276	7800																																	
276	7800																																	
282	7700																																	
282	7700																																	
282	7700																																	
282	7700																																	
282	7700																																	
282	7700																																	
282	7700																																	
282	7700																																	
290	7600																																	
290	7600																																	
290	7600																																	
290	7600																																	
290	7600																																	
290	7600																																	
290	7600																																	
290	7600																																	
290	7600																																	
299	7500																																	
299	7500																																	
299	7500																																	
299	7500																																	
299	7500																																	
299	7500																																	
305	7400																																	
305	7400																																	
305	7400																																	
305	7400																																	
305	7400																																	
305	7400																																	
305	7400																																	
312	7300																																	
312	7300																																	
312	7300																																	
312	7300																																	
312	7300																																	
317	7200																																	
317	7200																																	
317	7200																																	
317	7200																																	
317	7200																																	
317	7200																																	
317	7200																																	
317	7200																																	
325	7100																																	
325	7100																																	
325	7100																																	
325	7100																																	
325	7100																																	
325	7100																																	
325	7100																																	
332	7000																																	
332	7000																																	
332	7000																																	
332	7000																																	
332	7000																																	
332	7000																																	
332	7000																																	
332	7000																																	
332	7000																																	
332	7000																																	
332	7000																																	
332	7000																																	
344	6900																																	
344	6900																																	
344	6900																																	
344	6900																																	
344	6900																																	
344	6900																																	
344	6900																																	
344	6900																																	
352	6800																																	
352	6800																																	
352	6800																																	
352	6800																																	
352	6800																																	
352	6800																																	
352	6800																																	
352	6800																																	
352	6800																																	
352	6800																																	
352	6800																																	
352	6800																																	
352	6800																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
365	6700																																	
383	6600																																	
383	6600																																	
383	6600																																	
383	6600																																	
383	6600																																	
383	6600																																	
383	6600																																	
390	6500																																	
390	6500																																	
390	6500																																	
390	6500																																	
390	6500																																	
390	6500																																	
390	6500																																	
397	6400																																	
397	6400																																	
397	6400																																	
397	6400																																	
397	6400																																	
397	6400																																	
397	6400																																	
397	6400																																	
405	6300																																	
405	6300																																	
405	6300																																	
405	6300																																	
405	6300																																	
405	6300																																	
411	6200																																	
411	6200																																	
411	6200																																	
411	6200																																	
411	6200																																	
411	6200																																	
411	6200																																	
418	6100																																	
418	6100																																	
418	6100																																	
418	6100																																	
418	6100																																	
418	6100																																	
418	6100																																	
425	6000																																	
425	6000																																	
425	6000																																	
425	6000																																	
425	6000																																	
425	6000																																	
425	6000																																	
425	6000																																	
425	6000																																	
425	6000																																	
425	6000																																	
425	6000																																	
437	5900																																	
437	5900																																	
437	5900																																	
437	5900																																	
437	5900																																	
442	5800																																	
442	5800																																	
442	5800																																	
445	5700																																	
445	5700																																	
445	5700																																	
445	5700																																	
445	5700																																	
445	5700																																	
445	5700																																	
445	5700																																	
445	5700																																	
445	5700																																	
455	5600																																	
455	5600																																	
455	5600																																	
455	5600																																	
455	5600																																	
455	5600																																	
455	5600																																	
455	5600																																	
455	5600																																	
455	5600																																	
455	5600																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
466	5500																																	
486	5400																																	
486	5400																																	
486	5400																																	
486	5400																																	
486	5400																																	
486	5400																																	
486	5400																																	
486	5400																																	
486	5400																																	
486	5400																																	
486	5400																																	
497	5300																																	
497	5300																																	
497	5300																																	
497	5300																																	
497	5300																																	
497	5300																																	
497	5300																																	
497	5300																																	
497	5300																																	
497	5300																																	
497	5300																																	
497	5300																																	
497	5300																																	
497	5300																																	
511	5200																																	
511	5200																																	
511	5200																																	
511	5200																																	
511	5200																																	
511	5200																																	
511	5200																																	
511	5200																																	
511	5200																																	
511	5200																																	
511	5200																																	
511	5200																																	
523	5100																																	
523	5100																																	
523	5100																																	
523	5100																																	
523	5100																																	
523	5100																																	
523	5100																																	
523	5100																																	
523	5100																																	
523	5100																																	
523	5100																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
534	5000																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
552	4900																																	
567	4800																																	
567	4800																																	
567	4800																																	
567	4800																																	
567	4800																																	
567	4800																																	
567	4800																																	
567	4800																																	
567	4800																																	
567	4800																																	
567	4800																																	
567	4800																																	
567	4800																																	
580	4700																																	
580	4700																																	
580	4700																																	
580	4700																																	
580	4700																																	
580	4700																																	
580	4700																																	
580	4700																																	
580	4700																																	
580	4700																																	
580	4700																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
591	4600																																	
611	4500																																	
611	4500																																	
611	4500																																	
611	4500																																	
611	4500																																	
611	4500																																	
611	4500																																	
611	4500																																	
611	4500																																	
611	4500																																	
611	4500																																	
611	4500																																	
611	4500																																	
624	4400																																	
624	4400																																	
624	4400																																	
624	4400																																	
624	4400																																	
624	4400																																	
624	4400																																	
624	4400																																	
624	4400																																	
624	4400																																	
624	4400																																	
624	4400																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
636	4300																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
659	4200																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
679	4100																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
699	4000																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
721	3900																																	
